formulation,Anion,molality,Solvent DN,Diluent DN,Anion DN,Solvent CID,Diluent CID,Anion CID,Solvent AN,Diluent AN,Solvent molar mass,Diluent molar mass,Anion molar mass,solvent molar ratio,diluent molar ratio,anion molar ratio,solvent volume,diluent volume,anion volume,Fractional CN solvent,Fractional CN diluent,Fractional CN anion,CN solvent,CN diluent,CN anion,CN total,Fraction Free Solvents,Fraction Free Diluents,Fraction Free Anions,Density [kg/m3],Volume [nm3],anion to solvent ratio
DEA/DCD,PF6,0.5,32.2,3.2,-6.2,12703.0,19869.0,9886.0,13.6,16.7,115.17,156.95,144.964,0.2916242596389108,0.5832485192778216,0.0625636105416337,177.36010258286555,143.47530021417475,98.22421574221886,0.7939337963,0.004278083303,0.2017881204,2.88970129,0.01557105,0.73445342,3.63972576,0.410615806,0.99834002,0.426394173,1423.73694,179.222946,0.2145349999999999
DMA/DCD,PF6,0.5,27.8,3.2,-6.2,31374.0,19869.0,9886.0,13.6,16.7,87.12,156.95,144.964,0.2940294382273553,0.5880588764547107,0.058955842658967,130.98940364974786,143.47530021417475,98.22421574221886,0.6696178606,0.005273378319,0.3251087611,2.65078413,0.02087547,1.28699247,3.95865207,0.48356366,0.99793126,0.117610029,1482.03113,160.855194,0.20051
MPL/DCD,PF6,2.5,27.3,3.2,-6.2,13387.0,19869.0,9886.0,13.3,16.7,99.13,156.95,144.964,0.1974275194219322,0.3948550388438644,0.2038587208671016,139.65543911138744,143.47530021417475,98.22421574221886,0.3109950164,0.04523250711,0.6437724765,1.25053543,0.18188347,2.58865978,4.0210786800000005,0.043209101,0.90633614,0.003502157,1645.6947,191.350616,1.032575
DMSO/DCM,BF4,2.0,29.8,1.0,7.3,679.0,6344.0,26255.0,19.3,20.4,78.14,84.93,86.81,0.250501002004008,0.501002004008016,0.1242484969939879,104.6290690568062,88.23001018449519,72.88470609916,0.4928553236,8.689740329e-05,0.507057779,1.96955183,0.00034726,2.02630778,3.99620687,0.02428167,0.99991397,0.01997233,1341.11316,121.602989,0.496
DMSO/DCM,TFSI,1.5,29.8,1.0,11.2,679.0,6344.0,4176748.0,19.3,20.4,78.14,84.93,280.15,0.2670940170940171,0.5341880341880342,0.0993589743589743,104.6290690568062,88.23001018449519,209.7630622823716,0.65767,0.01356,0.32877,2.65108,0.05467,1.3253,4.0310500000000005,0.02105,0.98991,0.16238,1424.66614,137.40678,0.372
MPL/DCD,TFSI,0.5,27.3,3.2,11.2,13387.0,19869.0,4176748.0,13.3,16.7,99.13,156.95,280.15,0.2929947876227282,0.5859895752454565,0.0605078185659077,139.65543911138744,143.47530021417475,209.7630622823716,0.61487,0.02693,0.3582,2.22114,0.09727,1.29396,3.61237,0.55573,0.99007,0.09203,1525.55737,170.95508,0.2065149999999999
DEA/DCD,PF6,2.5,32.2,3.2,-6.2,12703.0,19869.0,9886.0,13.6,16.7,115.17,156.95,144.964,0.1943502385649178,0.3887004771298357,0.2084746421526232,177.36010258286555,143.47530021417475,98.22421574221886,0.3060608505,0.04545484983,0.6484842997,1.13626195,0.16875277,2.40752136,3.71253608,0.075963169,0.90956909,0.00717191,1573.27795,208.04158,1.0726749999999998
DMSO/DCM,PF6,0.5,29.8,1.0,-6.2,679.0,6344.0,9886.0,19.3,20.4,78.14,84.93,144.964,0.3078817733990147,0.6157635467980295,0.0381773399014778,104.6290690568062,88.23001018449519,98.22421574221886,0.984070166,0.000173124288,0.01575670968,3.93714948,0.00069265,0.06304075,4.00088288,0.515253066,0.99995736,0.937129973,1303.65845,113.117393,0.124
MPL/DCM,BF4,1.5,27.3,1.0,7.3,13387.0,6344.0,26255.0,13.3,20.4,99.13,84.93,86.81,0.2626760914848291,0.5253521829696582,0.1059858627727562,139.65543911138744,88.23001018449519,72.88470609916,0.4015052241,1.04e-06,0.5984937376,1.58551849,4.1e-06,2.36341355,3.94893614,0.39859373,0.99999917,0.02054188,1276.26074,133.061066,0.403485
DME/DCD,BF4,1.5,20.0,3.2,7.3,8071.0,19869.0,26255.0,10.2,16.7,90.12,156.95,86.81,0.2374135221245661,0.4748270442491322,0.1438797168131508,135.53372116858102,143.47530021417475,72.88470609916,0.3529579494,0.0008428529447,0.6461991977,1.1559233,0.00276031,2.11627677,3.27496038,0.30238969,0.99916693,0.00778742,1473.44153,173.082108,0.60603
DMSO/DCM,TFSI,0.2,29.8,1.0,11.2,679.0,6344.0,4176748.0,19.3,20.4,78.14,84.93,280.15,0.3226639132679401,0.6453278265358803,0.0160041300980898,104.6290690568062,88.23001018449519,209.7630622823716,0.99894,0.00017,0.00089,3.99682,0.00069,0.00356,4.00107,0.80796,0.99998,0.99644,1284.73535,112.67051,0.0496
DEA/DCD,TFSI,1.0,32.2,3.2,11.2,12703.0,19869.0,4176748.0,13.6,16.7,115.17,156.95,280.15,0.2591922532619345,0.518384506523869,0.1112116201070982,177.36010258286555,143.47530021417475,209.7630622823716,0.49388,0.0199,0.48622,1.68087,0.06772,1.65482,3.40341,0.3168,0.98556,0.0547,1504.20215,202.73126,0.4290699999999999
DEA/DCM,TFSI,0.2,32.2,1.0,11.2,12703.0,6344.0,4176748.0,13.6,20.4,115.17,84.93,280.15,0.3211291414419726,0.6422582828839453,0.018306287837041,177.36010258286555,88.23001018449519,209.7630622823716,0.88858,0.0,0.11142,3.42633,0.0,0.42964,3.85597,0.81479,1.0,0.57036,1160.58826,143.19521,0.057006
DMSO/DCM,PF6,1.5,29.8,1.0,-6.2,679.0,6344.0,9886.0,19.3,20.4,78.14,84.93,144.964,0.2670940170940171,0.5341880341880342,0.0993589743589743,104.6290690568062,88.23001018449519,98.22421574221886,0.6626667314,0.000126424456,0.3372068441,2.64622297,0.00050485,1.34656601,3.99329383,0.02377719,0.99990676,0.167541623,1370.3136,122.709267,0.372
DME/DCD,BF4,1.0,20.0,3.2,7.3,8071.0,19869.0,26255.0,10.2,16.7,90.12,156.95,86.81,0.2626022835894581,0.5252045671789162,0.1060965746158128,135.53372116858102,143.47530021417475,72.88470609916,0.4663198643,0.001199307938,0.5324808278,1.45148825,0.00373302,1.65742385,3.11264512,0.41595983,0.99924891,0.02553044,1460.78442,167.365921,0.4040199999999999
DME/DCM,PF6,2.5,20.0,1.0,-6.2,8071.0,6344.0,9886.0,10.2,20.4,90.12,84.93,144.964,0.2325635479894881,0.4651270959789762,0.1511546780157678,135.53372116858102,88.23001018449519,98.22421574221886,0.4400377748,1.29e-05,0.5599493025,1.44378059,4.24e-05,1.83721485,3.28103784,0.063515593,0.99998626,0.031219272,1357.00122,146.087311,0.64995
DEA/DCM,TFSI,2.5,32.2,1.0,11.2,12703.0,6344.0,4176748.0,13.6,20.4,115.17,84.93,280.15,0.2259810401907279,0.4519620803814559,0.161028439713908,177.36010258286555,88.23001018449519,209.7630622823716,0.37503,0.00039,0.62458,1.34354,0.0014,2.23753,3.58247,0.11739,0.9995,0.0057,1430.56836,189.14735,0.7125750000000001
DMA/DCD,BF4,0.5,27.8,3.2,7.3,31374.0,19869.0,26255.0,13.6,16.7,87.12,156.95,86.81,0.2940294382273553,0.5880588764547107,0.058955842658967,130.98940364974786,143.47530021417475,72.88470609916,0.5995444656,0.0004614370918,0.3999940973,2.30811262,0.00177643,1.53988816,3.84977721,0.54562467,0.99982396,0.05909098,1457.87769,159.223251,0.20051
DMSO/DCM,PF6,1.0,29.8,1.0,-6.2,679.0,6344.0,9886.0,19.3,20.4,78.14,84.93,144.964,0.2860411899313501,0.5720823798627002,0.0709382151029748,104.6290690568062,88.23001018449519,98.22421574221886,0.8872243181,0.0001572264505,0.1126184555,3.54734093,0.00062863,0.45027627,3.99824583,0.126664838,0.9999226,0.602135137,1333.74902,118.319351,0.248
DME/DCD,PF6,2.5,20.0,3.2,-6.2,8071.0,19869.0,9886.0,10.2,16.7,90.12,156.95,144.964,0.1991992191390609,0.3983984382781219,0.2012011712914085,135.53372116858102,143.47530021417475,98.22421574221886,0.2695032323,0.02252666375,0.707970104,0.95066779,0.0794624,2.49735177,3.52748196,0.040939845,0.95991784,0.003844153,1609.68518,191.439133,1.01005
DMA/DCM,TFSI,1.0,27.8,1.0,11.2,31374.0,6344.0,4176748.0,13.6,20.4,87.12,84.93,280.15,0.2845792211635875,0.569158442327175,0.0731311682546187,130.98940364974786,88.23001018449519,209.7630622823716,0.5005,0.0,0.4995,1.88876,0.0,1.88501,3.77377,0.5194,1.0,0.02703,1319.92236,138.35428,0.25698
